episode,steps,score,episode_reward,best_reward,epsilon,end_reason,wall_collisions_total,self_collisions_total,board_filled_total,pipes_passed_episode,pipes_passed_total,pipe_collisions_total,ground_collisions_total,ceiling_collisions_total
1,5573,1470,3450.3500,5056.9400,0.007000,self_collision,0,1,0,0,0,0,0,0
2,3096,870,1985.9800,5056.9400,0.007000,wall_collision,1,1,0,0,0,0,0,0
3,784,240,499.3100,5056.9400,0.007000,self_collision,1,2,0,0,0,0,0,0
4,1624,460,975.6100,5056.9400,0.007000,wall_collision,2,2,0,0,0,0,0,0
5,3465,980,2240.8700,5056.9400,0.007000,self_collision,2,3,0,0,0,0,0,0
6,1154,380,783.8100,5056.9400,0.007000,self_collision,2,4,0,0,0,0,0,0
7,1071,300,643.3900,5056.9400,0.007000,self_collision,2,5,0,0,0,0,0,0
8,2824,990,2201.8300,5056.9400,0.007000,self_collision,2,6,0,0,0,0,0,0
9,1073,320,729.5800,5056.9400,0.007000,wall_collision,3,6,0,0,0,0,0,0
10,213,70,112.9900,5056.9400,0.007000,wall_collision,4,6,0,0,0,0,0,0
11,2282,800,1772.1200,5056.9400,0.007000,self_collision,4,7,0,0,0,0,0,0
12,2728,890,1950.6500,5056.9400,0.007000,wall_collision,5,7,0,0,0,0,0,0
13,3891,1280,2911.2800,5056.9400,0.007000,self_collision,5,8,0,0,0,0,0,0
14,3635,1030,2440.1900,5056.9400,0.007000,self_collision,5,9,0,0,0,0,0,0
15,1727,540,1199.5600,5056.9400,0.007000,self_collision,5,10,0,0,0,0,0,0
16,2098,500,1174.0900,5056.9400,0.007000,self_collision,5,11,0,0,0,0,0,0
17,569,160,333.9600,5056.9400,0.007000,wall_collision,6,11,0,0,0,0,0,0
18,166,50,75.1700,5056.9400,0.007000,wall_collision,7,11,0,0,0,0,0,0
19,3925,1040,2413.1700,5056.9400,0.007000,self_collision,7,12,0,0,0,0,0,0
20,2544,830,1839.2700,5056.9400,0.007000,self_collision,7,13,0,0,0,0,0,0
21,1725,550,1223.2600,5056.9400,0.007000,self_collision,7,14,0,0,0,0,0,0
22,1367,430,949.3800,5056.9400,0.007000,self_collision,7,15,0,0,0,0,0,0
23,1207,360,788.8000,5056.9400,0.007000,self_collision,7,16,0,0,0,0,0,0
24,1698,540,1141.0300,5056.9400,0.007000,self_collision,7,17,0,0,0,0,0,0
25,1704,530,1224.6800,5056.9400,0.007000,wall_collision,8,17,0,0,0,0,0,0
26,1295,410,886.8600,5056.9400,0.007000,self_collision,8,18,0,0,0,0,0,0
27,3582,1020,2385.2100,5056.9400,0.007000,self_collision,8,19,0,0,0,0,0,0
28,748,300,594.9600,5056.9400,0.007000,self_collision,8,20,0,0,0,0,0,0
29,1029,330,729.8900,5056.9400,0.007000,wall_collision,9,20,0,0,0,0,0,0
30,700,210,461.0100,5056.9400,0.007000,wall_collision,10,20,0,0,0,0,0,0
31,826,300,602.3000,5056.9400,0.007000,self_collision,10,21,0,0,0,0,0,0
32,2135,690,1526.9300,5056.9400,0.007000,self_collision,10,22,0,0,0,0,0,0
33,3520,990,2315.5400,5056.9400,0.007000,self_collision,10,23,0,0,0,0,0,0
34,3291,960,2251.6100,5056.9400,0.007000,self_collision,10,24,0,0,0,0,0,0
35,2737,870,1978.1900,5056.9400,0.007000,self_collision,10,25,0,0,0,0,0,0
36,1801,610,1361.2200,5056.9400,0.007000,wall_collision,11,25,0,0,0,0,0,0
37,1127,400,861.7500,5056.9400,0.007000,self_collision,11,26,0,0,0,0,0,0
38,4702,1120,2723.2500,5056.9400,0.007000,self_collision,11,27,0,0,0,0,0,0
39,200,90,151.8100,5056.9400,0.007000,wall_collision,12,27,0,0,0,0,0,0
40,5645,1610,3641.0000,5056.9400,0.007000,self_collision,12,28,0,0,0,0,0,0
41,2274,670,1538.3900,5056.9400,0.007000,self_collision,12,29,0,0,0,0,0,0
42,1173,350,772.1300,5056.9400,0.007000,wall_collision,13,29,0,0,0,0,0,0
43,4290,1140,2654.5200,5056.9400,0.007000,self_collision,13,30,0,0,0,0,0,0
44,5859,1480,3339.0100,5056.9400,0.007000,self_collision,13,31,0,0,0,0,0,0
45,3551,1090,2484.9600,5056.9400,0.007000,self_collision,13,32,0,0,0,0,0,0
46,3777,1220,2727.8300,5056.9400,0.007000,self_collision,13,33,0,0,0,0,0,0
47,184,60,61.2500,5056.9400,0.007000,self_collision,13,34,0,0,0,0,0,0
48,1663,590,1298.7200,5056.9400,0.007000,self_collision,13,35,0,0,0,0,0,0
49,2938,800,1872.9700,5056.9400,0.007000,self_collision,13,36,0,0,0,0,0,0
50,1787,540,1213.2800,5056.9400,0.007000,self_collision,13,37,0,0,0,0,0,0
51,2149,710,1607.3600,5056.9400,0.007000,wall_collision,14,37,0,0,0,0,0,0
